Date,Settle,Relative Value
2019-11-07,1466.4,1450.294280000001
2019-11-06,1493.1,1450.294280000001
2019-11-05,1483.7,1450.294280000001
2019-11-04,1511.1,1450.294280000001
2019-11-01,1511.4,1450.294280000001
2019-10-31,1514.8,1445.263240000001
2019-10-30,1496.7,1445.263240000001
2019-10-29,1487.0,1445.263240000001
2019-10-28,1490.0,1445.263240000001
2019-10-25,1499.5,1445.263240000001
2019-10-24,1498.9,1421.5154413333332
2019-10-23,1489.9,1421.5154413333332
2019-10-22,1481.7,1421.5154413333332
2019-10-21,1482.4,1421.5154413333332
2019-10-18,1488.2,1421.5154413333332
2019-10-17,1492.3,1444.418153333333
2019-10-16,1488.0,1444.418153333333
2019-10-15,1477.6,1444.418153333333
2019-10-14,1491.7,1444.418153333333
2019-10-11,1482.7,1444.418153333333
2019-10-10,1494.8,1463.963579999998
2019-10-09,1506.1,1463.963579999998
2019-10-08,1497.2,1463.963579999998
2019-10-07,1497.7,1463.963579999998
2019-10-04,1506.2,1463.963579999998
2019-10-03,1507.1,1489.071304000001
2019-10-02,1501.0,1489.071304000001
2019-10-01,1482.0,1489.071304000001
2019-09-30,1465.7,1489.071304000001
2019-09-27,1499.1,1489.071304000001
2019-09-26,1507.9,1478.3744800000015
2019-09-25,1505.1,1478.3744800000015
2019-09-24,1532.6,1478.3744800000015
2019-09-23,1524.0,1478.3744800000015
2019-09-20,1508.0,1478.3744800000015
2019-09-19,1499.5,1503.1292799999987
2019-09-18,1509.1,1503.1292799999987
2019-09-17,1506.9,1503.1292799999987
2019-09-16,1504.8,1503.1292799999987
2019-09-13,1492.9,1503.1292799999987
2019-09-12,1500.8,1490.0952799999993
2019-09-11,1496.6,1490.0952799999993
2019-09-10,1492.7,1490.0952799999993
2019-09-09,1504.5,1490.0952799999993
2019-09-06,1509.0,1490.0952799999993
2019-09-05,1519.0,1494.26812
2019-09-04,1554.0,1494.26812
2019-09-03,1549.6,1494.26812
2019-08-30,1523.0,1494.26812
2019-08-29,1530.5,1499.64652
2019-08-28,1537.8,1499.64652
2019-08-27,1541.0,1499.64652
2019-08-26,1526.3,1499.64652
2019-08-23,1526.6,1499.64652
2019-08-22,1497.3,1495.4021300000018
2019-08-21,1504.6,1495.4021300000018
2019-08-20,1504.6,1495.4021300000018
2019-08-19,1500.4,1495.4021300000018
2019-08-16,1512.5,1495.4021300000018
2019-08-15,1519.6,1448.8445399999978
2019-08-14,1515.9,1448.8445399999978
2019-08-13,1502.2,1448.8445399999978
2019-08-12,1505.3,1448.8445399999978
2019-08-09,1496.6,1448.8445399999978
2019-08-08,1497.7,1383.7645142857152
2019-08-07,1507.3,1383.7645142857152
2019-08-06,1472.4,1383.7645142857152
2019-08-05,1464.6,1383.7645142857152
2019-08-02,1445.6,1383.7645142857152
2019-08-01,1420.9,1391.5799742857155
2019-07-31,1426.1,1391.5799742857155
2019-07-30,1429.7,1391.5799742857155
2019-07-29,1420.4,1391.5799742857155
2019-07-26,1419.3,1391.5799742857155
2019-07-25,1414.7,1395.2898546666663
2019-07-24,1423.6,1395.2898546666663
2019-07-23,1421.7,1395.2898546666663
2019-07-22,1426.9,1395.2898546666663
2019-07-19,1426.7,1395.2898546666663
2019-07-18,1428.1,1401.6800242857148
2019-07-17,1423.3,1401.6800242857148
2019-07-16,1411.2,1401.6800242857148
2019-07-15,1413.5,1401.6800242857148
2019-07-12,1412.2,1401.6800242857148
2019-07-11,1406.7,1406.3987733333322
2019-07-10,1412.5,1406.3987733333322
2019-07-09,1400.5,1406.3987733333322
2019-07-08,1400.0,1406.3987733333322
2019-07-05,1400.1,1406.3987733333322
2019-07-03,1420.9,1408.0897150000008
2019-07-02,1408.0,1408.0897150000008
2019-07-01,1389.3,1408.0897150000008
2019-06-28,1413.7,1408.0897150000008
2019-06-27,1412.0,1324.3081840000016
2019-06-26,1411.6,1324.3081840000016
2019-06-25,1414.9,1324.3081840000016
2019-06-24,1414.3,1324.3081840000016
2019-06-21,1396.2,1324.3081840000016
2019-06-20,1392.9,1302.3087793333336
2019-06-19,1344.6,1302.3087793333336
2019-06-18,1346.6,1302.3087793333336
2019-06-17,1338.7,1302.3087793333336
2019-06-14,1340.1,1302.3087793333336
2019-06-13,1339.2,1294.9624753333328
2019-06-12,1331.9,1294.9624753333328
2019-06-11,1326.4,1294.9624753333328
2019-06-10,1324.7,1294.9624753333328
2019-06-07,1341.2,1294.9624753333328
2019-06-06,1337.6,1243.3009751428574
2019-06-05,1328.3,1243.3009751428574
2019-06-04,1323.4,1243.3009751428574
2019-06-03,1322.7,1243.3009751428574
2019-05-31,1305.8,1243.3009751428574
2019-05-30,1287.1,1279.0669226666669
2019-05-29,1280.6,1279.0669226666669
2019-05-28,1276.5,1279.0669226666669
2019-05-24,1283.0,1279.0669226666669
2019-05-23,1284.8,1291.1676723333333
2019-05-22,1273.6,1291.1676723333333
2019-05-21,1272.0,1291.1676723333333
2019-05-20,1276.1,1291.1676723333333
2019-05-17,1274.5,1291.1676723333333
2019-05-16,1285.0,1273.7056842857144
2019-05-15,1296.3,1273.7056842857144
2019-05-14,1294.7,1273.7056842857144
2019-05-13,1300.1,1273.7056842857144
2019-05-10,1285.7,1273.7056842857144
2019-05-09,1283.5,1254.629854333334
2019-05-08,1279.4,1254.629854333334
2019-05-07,1283.5,1254.629854333334
2019-05-06,1281.7,1254.629854333334
2019-05-03,1279.2,1254.629854333334
2019-05-02,1269.7,1263.1279808095233
2019-05-01,1281.4,1263.1279808095233
2019-04-30,1282.8,1263.1279808095233
