Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2013-10-18,739.65,714.9207027619052,7.25,-6.870087761904529,-1.0,-7.25,-66.20000000000027
2013-10-11,712.3,721.7907905238097,27.350000000000023,-2.471536904761251,-1.0,-27.350000000000023,-58.95000000000027
2013-10-04,700.95,724.262327428571,11.349999999999909,4.875822428570814,1.0,11.349999999999909,-31.60000000000025
2013-09-27,730.8,719.3865050000002,-29.84999999999991,10.05455300000142,1.0,-29.84999999999991,-42.95000000000016
2013-09-20,720.3,709.3319519999988,10.5,6.255376666663437,1.0,10.5,-13.10000000000025
2013-09-13,697.5,703.0765753333353,22.799999999999955,-21.913174571427817,-1.0,-22.799999999999955,-23.60000000000025
2013-09-06,695.45,724.9897499047631,2.0499999999999545,-24.16525876190201,-1.0,-2.0499999999999545,-0.8000000000002956
2013-08-30,722.1,749.1550086666651,-26.649999999999977,-3.606979333334152,-1.0,26.649999999999977,1.249999999999659
2013-08-23,750.35,752.7619879999993,-28.25,8.97319466666579,1.0,-28.25,-25.40000000000032
2013-08-16,762.15,743.7887933333335,-11.799999999999955,-1.350730476190165,-1.0,11.799999999999955,2.8499999999996817
2013-08-09,740.1,745.1395238095237,22.049999999999955,9.637791809522923,1.0,22.049999999999955,-8.950000000000273
2013-08-02,728.8,735.5017320000007,11.300000000000068,1.8415446666665503,1.0,11.300000000000068,-31.000000000000227
2013-07-26,723.1,733.6601873333342,5.699999999999932,10.878773000000592,1.0,5.699999999999932,-42.300000000000296
2013-07-19,748.65,722.7814143333336,-25.549999999999955,29.143994333333467,1.0,-25.549999999999955,-48.00000000000023
2013-07-12,721.6,693.6374200000001,27.049999999999955,12.232766666667771,1.0,27.049999999999955,-22.450000000000273
2013-07-05,675.95,681.4046533333324,45.64999999999998,0.8696789523802408,1.0,45.64999999999998,-49.50000000000023
2013-06-28,659.2,680.5349743809521,16.75,-47.3077966666674,-1.0,-16.75,-95.1500000000002
2013-06-21,673.25,727.8427710476195,-14.049999999999955,-10.199666952380198,-1.0,14.049999999999955,-78.4000000000002
2013-06-14,729.8,738.0424379999997,-56.549999999999955,3.741436476190188,1.0,-56.549999999999955,-92.45000000000016
2013-06-07,759.45,734.3010015238095,-29.65000000000009,-0.729415333332895,-1.0,29.65000000000009,-35.900000000000205
2013-05-31,751.05,735.0304168571424,8.400000000000091,20.28685209523826,1.0,8.400000000000091,-65.5500000000003
2013-05-24,726.05,714.7435647619042,25.0,27.528296396825112,1.0,25.0,-73.95000000000039
2013-05-17,739.5,687.215268365079,-13.450000000000045,-1.0131560396806663,-1.0,13.450000000000045,-98.95000000000039
2013-05-10,704.6,688.2284244047597,34.89999999999998,-4.894631500003129,-1.0,-34.89999999999998,-112.40000000000043
2013-05-03,692.2,693.1230559047629,12.399999999999977,15.166157761905765,1.0,12.399999999999977,-77.50000000000045
2013-04-26,680.85,677.9568981428571,11.350000000000023,-26.638049558440912,-1.0,-11.350000000000023,-89.90000000000043
2013-04-19,675.9,704.594947701298,4.9500000000000455,-28.07421163203435,-1.0,-4.9500000000000455,-78.55000000000041
2013-04-12,707.95,732.6691593333323,-32.05000000000007,-33.33919866666963,-1.0,32.05000000000007,-73.60000000000036
2013-04-05,722.75,766.008358000002,-14.799999999999955,16.959223904764826,1.0,-14.799999999999955,-105.65000000000043
2013-03-22,759.75,749.0491340952372,-37.0,-12.635911238093854,-1.0,37.0,-90.85000000000048
2013-03-15,773.7,761.685045333331,-13.950000000000045,39.279595333331486,1.0,-13.950000000000045,-127.85000000000048
2013-03-08,780.65,722.4054499999995,-6.949999999999932,-4.854204857142804,-1.0,6.949999999999932,-113.90000000000043
2013-03-01,718.65,727.2596548571423,62.0,-36.07079323809489,-1.0,-62.0,-120.85000000000036
2013-02-22,734.9,763.3304480952372,-16.25,2.303270666667572,1.0,-16.25,-58.850000000000364
2013-02-15,752.75,761.0271774285696,-17.850000000000023,7.514785333332497,1.0,-17.850000000000023,-42.600000000000364
2013-02-08,751.1,753.5123920952371,1.6499999999999773,11.34736876190425,1.0,1.6499999999999773,-24.75000000000034
2013-02-01,756.0,742.1650233333329,-4.899999999999977,23.68507395237964,1.0,-4.899999999999977,-26.40000000000032
2013-01-25,740.25,718.4799493809533,15.75,21.84422503679764,1.0,15.75,-21.50000000000034
2013-01-18,722.0,696.6357243441556,18.25,9.031561863997581,1.0,18.25,-37.25000000000034
2013-01-11,700.7,687.604162480158,21.299999999999955,-8.490667316379017,-1.0,-21.299999999999955,-55.50000000000034
2013-01-04,687.8,696.094829796537,12.900000000000091,23.59403590367981,1.0,12.900000000000091,-34.20000000000039
2012-12-28,699.6,672.5007938928572,-11.800000000000068,-23.837290440476863,-1.0,11.800000000000068,-47.10000000000048
2012-12-21,681.3,696.3380843333341,18.300000000000068,6.828872126984265,1.0,18.300000000000068,-58.900000000000546
2012-12-14,700.8,689.5092122063498,-19.5,12.563324373015234,1.0,-19.5,-77.20000000000061
2012-12-07,696.5,676.9458878333346,4.2999999999999545,11.869561035716401,1.0,4.2999999999999545,-57.700000000000614
2012-11-30,686.25,665.0763267976182,10.25,29.493989880952654,1.0,10.25,-62.00000000000057
2012-11-23,667.0,635.5823369166656,19.25,5.150857749998636,1.0,19.25,-72.25000000000057
2012-11-16,625.75,630.4314791666669,41.25,12.565702666665857,1.0,41.25,-91.50000000000057
2012-11-09,610.25,617.8657765000011,15.5,-6.153848833332972,-1.0,-15.5,-132.75000000000057
2012-11-02,598.85,624.019625333334,11.399999999999977,-17.469365333332462,-1.0,-11.399999999999977,-117.25000000000057
2012-10-26,595.7,641.4889906666665,3.1499999999999773,-13.954027583332959,-1.0,-3.1499999999999773,-105.85000000000059
2012-10-19,623.3,655.4430182499995,-27.59999999999991,-4.316139714284986,-1.0,27.59999999999991,-102.70000000000061
2012-10-12,637.95,659.7591579642844,-14.650000000000091,-8.36618583333393,-1.0,14.650000000000091,-130.30000000000052
2012-10-05,661.75,668.1253437976184,-23.799999999999955,10.23158496428573,1.0,-23.799999999999955,-144.9500000000006
2012-09-28,639.65,657.8937588333326,22.100000000000023,-16.45710383333403,-1.0,-22.100000000000023,-121.15000000000066
2012-09-21,670.05,674.3508626666667,-30.399999999999977,15.750784190476452,1.0,-30.399999999999977,-99.05000000000064
2012-09-14,698.8,658.6000784761902,-28.75,31.269365142857055,1.0,-28.75,-68.65000000000066
2012-09-07,654.0,627.3307133333332,44.799999999999955,-8.80930771428666,-1.0,-44.799999999999955,-39.90000000000066
2012-08-31,627.95,636.1400210476198,26.049999999999955,39.69869771428546,1.0,26.049999999999955,4.899999999999295
2012-08-24,651.55,596.4413233333344,-23.59999999999991,14.862323761904918,1.0,-23.59999999999991,-21.15000000000066
2012-08-17,604.5,581.5789995714294,47.049999999999955,0.950481761904939,1.0,47.049999999999955,2.4499999999992497
2012-08-10,581.5,580.6285178095245,23.0,1.964111047619781,1.0,23.0,-44.600000000000705
2012-08-03,577.4,578.6644067619047,4.100000000000023,4.028386761905381,1.0,4.100000000000023,-67.6000000000007
2012-07-27,571.05,574.6360199999993,6.350000000000023,-6.235289904762226,-1.0,-6.350000000000023,-71.70000000000073
2012-07-20,574.85,580.8713099047616,-3.800000000000068,-0.053683952381334166,-1.0,3.800000000000068,-65.3500000000007
2012-07-13,584.35,580.9249938571429,-9.5,-2.522984047619161,-1.0,9.5,-69.15000000000077
2012-07-06,578.85,583.4479779047621,5.5,-13.015364809523817,-1.0,-5.5,-78.65000000000077
2012-06-29,583.05,596.4633427142859,-4.199999999999932,-9.52607280952384,-1.0,4.199999999999932,-73.15000000000077
2012-06-22,605.95,605.9894155238097,-22.90000000000009,-3.4193910476182054,-1.0,22.90000000000009,-77.3500000000007
2012-06-15,629.1,609.4088065714279,-23.149999999999977,14.765440999999782,1.0,-23.149999999999977,-100.2500000000008
2012-06-08,610.65,594.6433655714281,18.450000000000045,14.93047442857096,1.0,18.450000000000045,-77.10000000000082
2012-06-01,612.3,579.7128911428572,-1.6499999999999773,-8.070832190476494,-1.0,1.6499999999999773,-95.55000000000086
2012-05-25,589.95,587.7837233333337,22.34999999999991,-19.92948209523786,-1.0,-22.34999999999991,-97.20000000000084
