Date,Settle,Relative Value
2019-11-07,1777.8,1654.8036399999994
2019-11-06,1761.1,1654.8036399999994
2019-11-05,1746.7,1654.8036399999994
2019-11-04,1752.8,1654.8036399999994
2019-11-01,1784.3,1654.8036399999994
2019-10-31,1755.6,1641.5241300000023
2019-10-30,1792.1,1641.5241300000023
2019-10-29,1755.1,1641.5241300000023
2019-10-28,1779.3,1641.5241300000023
2019-10-25,1744.2,1641.5241300000023
2019-10-24,1747.9,1602.3132499999997
2019-10-23,1714.6,1602.3132499999997
2019-10-22,1728.5,1602.3132499999997
2019-10-21,1725.3,1602.3132499999997
2019-10-18,1717.6,1602.3132499999997
2019-10-17,1730.7,1569.41026
2019-10-16,1735.0,1569.41026
2019-10-15,1696.6,1569.41026
2019-10-14,1687.0,1569.41026
2019-10-11,1670.1,1569.41026
2019-10-10,1675.9,1563.3494099999998
2019-10-09,1654.7,1563.3494099999998
2019-10-08,1650.7,1563.3494099999998
2019-10-07,1646.3,1563.3494099999998
2019-10-04,1642.4,1563.3494099999998
2019-10-03,1630.2,1548.4846400000006
2019-10-02,1665.5,1548.4846400000006
2019-10-01,1630.7,1548.4846400000006
2019-09-30,1647.5,1548.4846400000006
2019-09-27,1652.9,1548.4846400000006
2019-09-26,1644.7,1533.9601900000023
2019-09-25,1613.6,1533.9601900000023
2019-09-24,1648.2,1533.9601900000023
2019-09-23,1627.4,1533.9601900000023
2019-09-20,1626.8,1533.9601900000023
2019-09-19,1614.4,1536.12983
2019-09-18,1579.3,1536.12983
2019-09-17,1595.4,1536.12983
2019-09-16,1591.5,1536.12983
2019-09-13,1600.5,1536.12983
2019-09-12,1604.6,1564.6446999999998
2019-09-11,1556.6,1564.6446999999998
2019-09-10,1553.0,1564.6446999999998
2019-09-09,1535.9,1564.6446999999998
2019-09-06,1544.1,1564.6446999999998
2019-09-05,1560.2,1430.1986200000026
2019-09-04,1550.3,1430.1986200000026
2019-09-03,1533.2,1430.1986200000026
2019-08-30,1538.6,1430.1986200000026
2019-08-29,1469.1,1435.4064300000007
2019-08-28,1460.8,1435.4064300000007
2019-08-27,1478.3,1435.4064300000007
2019-08-26,1472.3,1435.4064300000007
2019-08-23,1454.3,1435.4064300000007
2019-08-22,1485.2,1429.7036600000051
2019-08-21,1465.5,1429.7036600000051
2019-08-20,1489.7,1429.7036600000051
2019-08-19,1474.3,1429.7036600000051
2019-08-16,1441.3,1429.7036600000051
2019-08-15,1438.6,1439.1510785714263
2019-08-14,1416.4,1439.1510785714263
2019-08-13,1451.5,1439.1510785714263
2019-08-12,1430.8,1439.1510785714263
2019-08-09,1419.3,1439.1510785714263
2019-08-08,1413.5,1472.7668199999982
2019-08-07,1410.3,1472.7668199999982
2019-08-06,1437.0,1472.7668199999982
2019-08-05,1416.3,1472.7668199999982
2019-08-02,1404.2,1472.7668199999982
2019-08-01,1414.3,1520.0864799999958
2019-07-31,1524.4,1520.0864799999958
2019-07-30,1509.1,1520.0864799999958
2019-07-29,1553.8,1520.0864799999958
2019-07-26,1531.0,1520.0864799999958
2019-07-25,1533.9,1504.0544499999962
2019-07-24,1538.5,1504.0544499999962
2019-07-23,1518.6,1504.0544499999962
2019-07-22,1529.2,1504.0544499999962
2019-07-19,1508.3,1504.0544499999962
2019-07-18,1511.9,1543.9515399999952
2019-07-17,1543.2,1543.9515399999952
2019-07-16,1516.3,1543.9515399999952
2019-07-15,1562.9,1543.9515399999952
2019-07-12,1542.4,1543.9515399999952
2019-07-11,1559.1,1524.5682000000018
2019-07-10,1588.1,1524.5682000000018
2019-07-09,1539.9,1524.5682000000018
2019-07-08,1558.2,1524.5682000000018
2019-07-05,1564.2,1524.5682000000018
2019-07-03,1565.8,1503.9348199999993
2019-07-02,1552.8,1503.9348199999993
2019-07-01,1544.7,1503.9348199999993
2019-06-28,1537.6,1503.9348199999993
2019-06-27,1538.9,1422.4809085714244
2019-06-26,1518.0,1422.4809085714244
2019-06-25,1521.8,1422.4809085714244
2019-06-24,1520.4,1422.4809085714244
2019-06-21,1491.3,1422.4809085714244
2019-06-20,1472.1,1374.6978985714295
2019-06-19,1484.1,1374.6978985714295
2019-06-18,1464.4,1374.6978985714295
2019-06-17,1446.6,1374.6978985714295
2019-06-14,1452.7,1374.6978985714295
2019-06-13,1429.6,1349.0382200000054
2019-06-12,1397.4,1349.0382200000054
2019-06-11,1381.5,1349.0382200000054
2019-06-10,1378.6,1349.0382200000054
2019-06-07,1349.5,1349.0382200000054
2019-06-06,1342.6,1340.0148952380957
2019-06-05,1322.5,1340.0148952380957
2019-06-04,1337.1,1340.0148952380957
2019-06-03,1313.7,1340.0148952380957
2019-05-31,1333.9,1340.0148952380957
2019-05-30,1369.8,1347.6572600000027
2019-05-29,1353.3,1347.6572600000027
2019-05-28,1344.2,1347.6572600000027
2019-05-24,1330.4,1347.6572600000027
2019-05-23,1312.5,1335.1650800000036
2019-05-22,1318.2,1335.1650800000036
2019-05-21,1317.2,1335.1650800000036
2019-05-20,1335.7,1335.1650800000036
2019-05-17,1310.5,1335.1650800000036
2019-05-16,1329.4,1344.372720000003
2019-05-15,1337.6,1344.372720000003
2019-05-14,1337.7,1344.372720000003
2019-05-13,1321.5,1344.372720000003
2019-05-10,1355.4,1344.372720000003
2019-05-09,1287.7,1355.7827700000023
2019-05-08,1311.1,1355.7827700000023
2019-05-07,1328.1,1355.7827700000023
2019-05-06,1332.8,1355.7827700000023
2019-05-03,1362.7,1355.7827700000023
2019-05-02,1347.9,1372.5691966666695
2019-05-01,1349.1,1372.5691966666695
2019-04-30,1387.4,1372.5691966666695
2019-04-29,1366.7,1372.5691966666695
2019-04-26,1452.2,1372.5691966666695
2019-04-25,1411.9,1382.3067099999985
2019-04-24,1410.1,1382.3067099999985
2019-04-23,1380.6,1382.3067099999985
2019-04-22,1374.8,1382.3067099999985
2019-04-18,1403.5,1382.3067099999985
2019-04-17,1383.6,1382.3067099999985
2019-04-16,1333.4,1382.3067099999985
2019-04-15,1339.7,1382.3067099999985
2019-04-12,1355.2,1382.3067099999985
2019-04-11,1335.8,1392.3849399999983
2019-04-10,1366.4,1392.3849399999983
2019-04-09,1365.8,1392.3849399999983
2019-04-08,1356.3,1392.3849399999983
2019-04-05,1349.1,1392.3849399999983
2019-04-04,1335.5,1475.297700000004
2019-04-03,1381.3,1475.297700000004
2019-04-02,1403.5,1475.297700000004
2019-04-01,1395.0,1475.297700000004
2019-03-29,1345.0,1475.297700000004
2019-03-28,1312.9,1447.6455200000012
2019-03-27,1441.9,1447.6455200000012
2019-03-26,1536.3,1447.6455200000012
2019-03-25,1563.8,1447.6455200000012
2019-03-22,1535.9,1447.6455200000012
2019-03-21,1578.3,1434.974579333329
2019-03-20,1580.8,1434.974579333329
2019-03-19,1569.7,1434.974579333329
2019-03-18,1556.8,1434.974579333329
2019-03-15,1535.6,1434.974579333329
2019-03-14,1531.7,1316.312490000002
2019-03-13,1535.7,1316.312490000002
2019-03-12,1519.9,1316.312490000002
2019-03-11,1503.7,1316.312490000002
