Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2015-01-02,1186.2,1206.0882926666666,29.899999999999864,-0.04695704761820707,-1.0,-29.899999999999864,-298.9000000000012
2014-12-26,1195.3,1206.1352497142848,-9.099999999999909,-6.313163142858912,-1.0,9.099999999999909,-269.00000000000136
2014-12-19,1195.9,1212.4484128571437,-0.6000000000001364,5.672984190480065,1.0,-0.6000000000001364,-278.1000000000013
2014-12-12,1222.0,1206.7754286666636,-26.09999999999991,1.5966376666647193,1.0,-26.09999999999991,-277.50000000000114
2014-12-05,1190.1,1205.178790999999,31.90000000000009,-0.9683109047623475,-1.0,-31.90000000000009,-251.40000000000123
2014-11-28,1175.2,1206.1471019047613,14.899999999999864,-4.333121428573577,-1.0,-14.899999999999864,-219.50000000000114
2014-11-21,1197.7,1210.4802233333348,-22.5,32.11192761904999,1.0,-22.5,-204.60000000000127
2014-11-14,1185.6,1178.3682957142848,12.100000000000136,-15.91968561904946,-1.0,-12.100000000000136,-182.10000000000127
2014-11-07,1169.8,1194.2879813333343,15.799999999999955,-38.10395033333384,-1.0,-15.799999999999955,-170.00000000000114
2014-10-31,1171.6,1232.3919316666681,-1.7999999999999545,-4.162270999997418,-1.0,1.7999999999999545,-154.20000000000118
2014-10-24,1231.2,1236.5542026666656,-59.600000000000136,19.92502033333517,1.0,-59.600000000000136,-156.00000000000114
2014-10-17,1238.3,1216.6291823333304,-7.099999999999909,12.681082333331233,1.0,-7.099999999999909,-96.400000000001
2014-10-10,1221.0,1203.9480999999992,17.299999999999955,-3.896321666666381,-1.0,-17.299999999999955,-89.30000000000109
2014-10-03,1192.2,1207.8444216666655,28.799999999999955,-2.6461810000000696,-1.0,-28.799999999999955,-72.00000000000114
2014-09-26,1214.1,1210.4906026666656,-21.899999999999864,-19.08370933333208,-1.0,21.899999999999864,-43.20000000000118
2014-09-19,1215.5,1229.5743119999977,-1.400000000000091,-13.886922000003551,-1.0,1.400000000000091,-65.10000000000105
2014-09-12,1230.4,1243.4612340000012,-14.900000000000091,-26.24865333333173,-1.0,14.900000000000091,-66.50000000000114
