Date,Settle,Relative Value
2019-11-07,914.0,922.2409666666663
2019-11-06,931.7,922.2409666666663
2019-11-05,930.6,922.2409666666663
2019-11-04,938.7,922.2409666666663
2019-11-01,954.0,922.2409666666663
2019-10-31,933.7,916.071609333333
2019-10-30,930.6,916.071609333333
2019-10-29,920.7,916.071609333333
2019-10-28,914.7,916.071609333333
2019-10-25,929.1,916.071609333333
2019-10-24,921.6,937.3100329999999
2019-10-23,918.4,937.3100329999999
2019-10-22,892.3,937.3100329999999
2019-10-21,888.5,937.3100329999999
2019-10-18,892.3,937.3100329999999
2019-10-17,889.0,953.8289556666664
2019-10-16,886.5,953.8289556666664
2019-10-15,884.4,953.8289556666664
2019-10-14,894.6,953.8289556666664
2019-10-11,895.5,953.8289556666664
2019-10-10,903.1,931.6169779999998
2019-10-09,891.9,931.6169779999998
2019-10-08,885.3,931.6169779999998
2019-10-07,883.2,931.6169779999998
2019-10-04,881.7,931.6169779999998
2019-10-03,889.0,959.9897599999998
2019-10-02,888.3,959.9897599999998
2019-10-01,879.6,959.9897599999998
2019-09-30,883.4,959.9897599999998
2019-09-27,931.0,959.9897599999998
2019-09-26,936.1,954.3477399999995
2019-09-25,927.9,954.3477399999995
2019-09-24,955.4,954.3477399999995
2019-09-23,953.9,954.3477399999995
2019-09-20,942.6,954.3477399999995
2019-09-19,942.4,961.5163769523807
2019-09-18,934.6,961.5163769523807
2019-09-17,944.2,961.5163769523807
2019-09-16,939.2,961.5163769523807
2019-09-13,952.2,961.5163769523807
2019-09-12,952.6,934.9397199999997
2019-09-11,940.2,934.9397199999997
2019-09-10,936.6,934.9397199999997
2019-09-09,952.7,934.9397199999997
2019-09-06,958.5,934.9397199999997
2019-09-05,963.7,881.2652509999999
2019-09-04,984.2,881.2652509999999
2019-09-03,955.6,881.2652509999999
2019-08-30,931.7,881.2652509999999
2019-08-29,920.0,858.4444000000002
2019-08-28,908.9,858.4444000000002
2019-08-27,868.2,858.4444000000002
2019-08-26,857.8,858.4444000000002
2019-08-23,855.3,858.4444000000002
2019-08-22,861.9,872.2382906666666
2019-08-21,858.1,872.2382906666666
2019-08-20,852.8,872.2382906666666
2019-08-19,856.8,872.2382906666666
2019-08-16,851.5,872.2382906666666
2019-08-15,842.0,863.0489973333334
2019-08-14,848.0,863.0489973333334
2019-08-13,859.7,863.0489973333334
2019-08-12,863.7,863.0489973333334
2019-08-09,863.8,863.0489973333334
2019-08-08,867.5,881.112304
2019-08-07,871.0,881.112304
2019-08-06,853.2,881.112304
2019-08-05,857.9,881.112304
2019-08-02,853.0,881.112304
2019-08-01,851.3,854.3084893333335
2019-07-31,878.9,854.3084893333335
