Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2017-09-29,910.3,943.6302246666671,2.6000000000000227,-29.805683465201355,-1.0,-2.6000000000000227,853.7999999999993
2017-09-22,932.1,973.4359081318685,-21.800000000000068,-15.754885582417614,-1.0,21.800000000000068,856.3999999999993
2017-09-15,971.8,989.1907937142861,-39.69999999999993,-5.15218266666659,-1.0,39.69999999999993,834.5999999999992
2017-09-08,1012.3,994.3429763809527,-40.5,6.952987714285655,1.0,-40.5,794.8999999999993
2017-09-01,1009.0,987.389988666667,3.2999999999999545,9.181244571428692,1.0,3.2999999999999545,835.3999999999993
2017-08-25,979.1,978.2087440952383,29.899999999999977,6.224020095238075,1.0,29.899999999999977,832.0999999999993
2017-08-18,982.4,971.9847240000003,-3.2999999999999545,14.682848476189974,1.0,-3.2999999999999545,802.1999999999994
2017-08-11,989.7,957.3018755238103,-7.300000000000068,42.62332590476262,1.0,-7.300000000000068,805.4999999999993
2017-08-04,969.0,914.6785496190477,20.700000000000045,-3.77198276190461,-1.0,-20.700000000000045,812.7999999999994
2017-07-28,936.6,918.4505323809523,32.39999999999998,12.350020095238051,1.0,32.39999999999998,833.4999999999994
2017-07-21,934.7,906.1005122857142,1.8999999999999773,22.488003082250998,1.0,1.8999999999999773,801.0999999999995
2017-07-14,920.9,883.6125092034632,13.800000000000068,-27.46371593939375,-1.0,-13.800000000000068,799.1999999999995
2017-07-07,901.1,911.076225142857,19.799999999999955,-6.2728072380954245,-1.0,-19.799999999999955,812.9999999999995
2017-06-30,923.7,917.3490323809524,-22.600000000000023,-16.846544634920406,-1.0,22.600000000000023,832.7999999999995
2017-06-23,929.4,934.1955770158728,-5.699999999999932,-4.884761142857656,-1.0,5.699999999999932,810.1999999999995
2017-06-16,926.8,939.0803381587305,2.6000000000000227,-5.660730793650714,-1.0,-2.6000000000000227,804.4999999999995
2017-06-09,940.3,944.7410689523812,-13.5,-1.823852999999417,-1.0,13.5,807.0999999999996
2017-06-02,953.4,946.5649219523806,-13.100000000000023,4.889208714285132,1.0,-13.100000000000023,793.5999999999996
2017-05-26,959.8,941.6757132380955,-6.399999999999977,24.530201844156068,1.0,-6.399999999999977,806.6999999999996
2017-05-19,937.7,917.1455113939394,22.09999999999991,8.249625142857099,1.0,22.09999999999991,813.0999999999996
2017-05-12,915.0,908.8958862510823,22.700000000000045,-22.964025367965405,-1.0,-22.700000000000045,790.9999999999997
2017-05-05,907.7,931.8599116190477,7.2999999999999545,-32.04760171428586,-1.0,-7.2999999999999545,813.6999999999997
